Graph,Algorithm,f,MC,Paths,Execution Time,ML,MPL
1,SSP,21,342,19,0.0045337677001953125,7.0,0.7777777777777778
1,CS,16,260,7,0.0078277587890625,5.928571428571429,0.8469387755102041
1,CC,21.849999999999998,352.84999999999997,30,0.005083560943603516,6.071428571428571,0.7589285714285714
1,HYBRID,21.849999999999998,342.15,18,0.005876779556274414,6.332939933490808,0.8755787037037037
2,SSP,48,1208,55,0.06833553314208984,8.676470588235293,0.7887700534759358
2,CS,34,839,16,0.07413816452026367,7.794117647058823,0.7794117647058824
2,CC,50.349999999999994,1260.1999999999998,69,0.09075784683227539,7.647058823529412,0.6951871657754011
2,HYBRID,50.349999999999994,1125.7999999999997,43,0.09466958045959473,7.492823923277556,0.8473409306742641
3,SSP,74,864,68,0.032315969467163086,5.363636363636363,0.7662337662337662
3,CS,48,556,25,0.03436446189880371,4.113636363636363,0.8227272727272726
3,CC,81,931,94,0.03212451934814453,4.181818181818182,0.6969696969696969
3,HYBRID,85.5,895.0,58,0.044319868087768555,3.9904596907131142,0.77
4,SSP,144,1072,125,0.2962222099304199,4.121951219512195,0.5888501742160279
4,CS,91,710,43,0.1865551471710205,2.8902439024390243,0.5780487804878048
4,CC,177,1296,172,0.28114771842956543,2.9146341463414633,0.5829268292682926
4,HYBRID,185.52499999999998,1292.5749999999998,110,0.2732200622558594,2.691109996877716,0.6344789356984479
5,SSP,113,5680,62,0.01674032211303711,5.930232558139535,0.6589147286821705
5,CS,74,2638,22,0.017840862274169922,4.744186046511628,0.6777408637873755
5,CC,182,9091,83,0.016516447067260742,4.906976744186046,0.6133720930232558
5,HYBRID,188,8292,86,0.03596997261047363,5.370364037720566,0.6566998892580289
6,SSP,178,7059,99,0.1290745735168457,5.303030303030303,0.6628787878787878
6,CS,120,4453,41,0.2640852928161621,4.242424242424242,0.7070707070707071
6,CC,258,10349,135,0.1560361385345459,4.287878787878788,0.6125541125541126
6,HYBRID,286,11177,128,0.2688002586364746,4.695896948799886,0.7398989898989898
7,SSP,130,4951,70,0.03824114799499512,4.934782608695652,0.7049689440993789
7,CS,78,2982,24,0.04119420051574707,3.9347826086956523,0.7869565217391304
7,CC,206,7931,88,0.03569769859313965,3.760869565217391,0.6268115942028986
7,HYBRID,193,7445,84,0.07667684555053711,4.046986714901526,0.7459627329192546
8,SSP,323,14165,198,0.831141471862793,5.5,0.6875
8,CS,158,6158,70,0.7387328147888184,4.40625,0.734375
8,CC,483,20338,256,0.7463979721069336,4.1875,0.5982142857142857
8,HYBRID,517,21745,245,2.2630615234375,4.8558799002713045,0.70947265625
